willid_full,year,treat,site_id,exp,willid,fall_height,species_id,fence,dam,browse,n.plants,n.years,min.year,max.year,site_full
eb2-cc-777,2002,cc,eb2,1,777,62,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-780,2002,cc,eb2,1,780,43,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-783,2002,cc,eb2,1,783,54,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-786,2002,cc,eb2,1,786,61,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-789,2002,cc,eb2,1,789,36,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-792,2002,cc,eb2,1,792,127,geyer,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-795,2002,cc,eb2,1,795,74,geyer,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-910,2002,cc,eb2,1,910,107,boothi,0,0,1,14,19,2002,2020,eb2-cc
eb2-cc-771,2003,cc,eb2,1,771,44,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-774,2003,cc,eb2,1,774,58,beb,0,0,1,20,19,2002,2020,eb2-cc
eb2-cc-777,2003,cc,eb2,1,777,57,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-780,2003,cc,eb2,1,780,42,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-783,2003,cc,eb2,1,783,54,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-786,2003,cc,eb2,1,786,48,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-789,2003,cc,eb2,1,789,40,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-792,2003,cc,eb2,1,792,136,geyer,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-795,2003,cc,eb2,1,795,70,geyer,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-910,2003,cc,eb2,1,910,NA,boothi,0,0,1,14,19,2002,2020,eb2-cc
eb2-cc-771,2004,cc,eb2,1,771,57,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-774,2004,cc,eb2,1,774,59,beb,0,0,1,20,19,2002,2020,eb2-cc
eb2-cc-777,2004,cc,eb2,1,777,85,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-780,2004,cc,eb2,1,780,82,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-783,2004,cc,eb2,1,783,54,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-786,2004,cc,eb2,1,786,65,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-789,2004,cc,eb2,1,789,53,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-792,2004,cc,eb2,1,792,158,geyer,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-795,2004,cc,eb2,1,795,89,geyer,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-771,2005,cc,eb2,1,771,59,beb,0,0,1,19,19,2002,2020,eb2-cc
eb2-cc-774,2005,cc,eb2,1,774,73,beb,0,0,1,20,19,2002,2020,eb2-cc
